Date,Class,Title,Ins,Id,Course
6/30/2018,Practice 1,0,Lu,101,Summer02
7/1/2018,Practice 2,0,Joe,102,Summer02
7/2/2018,Practice 3,0,Joe,104,Summer02
7/4/2018,Class 2,Recursion I and Binary Search,Sun,103,Summer02
7/6/2018,Practice 4,0,Lu,302,Summer02
7/7/2018,Class 3,Queue and Stack,Sun,201,Summer02
7/8/2018,Practice 5,0,Yan,303,Summer02
7/9/2018,Class 4,Linked List,Sun,301,Summer02
7/11/2018,Practice 6,0,Lu,202,Summer02
7/13/2018,Class 5,Binary Tree,Tang,401,Summer02
7/14/2018,Practice 7,0,Joe,402,Summer02
7/15/2018,Practice 8,0,Lu,403,Summer02
7/16/2018,Class 6,Heap and Graph Search I,Tang,501,Summer02
7/18/2018,Practice 9,0,Lu,502,Summer02
7/20/2018,Class 7,DFS,Sun,601,Summer02
7/21/2018,Practice 10,0,Lu,503,Summer02
7/22/2018,Practice 11,0,Joe,504,Summer02
7/23/2018,Class 8,HashTable I and String I,Sun,701,Summer02
7/25/2018,Practice 12,0,Joe,602,Summer02
7/27/2018,Practice 13,0,Lu,801,Summer02
7/28/2018,Class 9,String II,Sun,702,Summer02
7/29/2018,Class 10,Bit,Jingyue,803,Summer02
7/30/2018,Class 11,Midterm I,Yan,901,Summer02
8/1/2018,Practice 14,0,Lu,802,Summer02
8/3/2018,Class 12,OOD 1,Lu,1001,Summer02
8/4/2018,Practice 15,0,Joe,903,Summer02
8/5/2018,Class 13,DP I,Tang,1101,Summer02
8/6/2018,Practice 16,0,Joe,904,Summer02
8/8/2018,Class 14,Sampling,Jingyue,1202,Summer02
8/10/2018,Class 15,DP II,Tang,1102,Summer02
8/11/2018,Practice 17,0,Joe,1005,Summer02
8/12/2018,Class 16,DP III,Tang,1103,Summer02
8/13/2018,Practice 18,0,Joe,1104,Summer02
8/15/2018,Class 17,Resume,Jon,1409,Summer02
8/17/2018,Practice 19,0,Yan,1105,Summer02
8/18/2018,Class 18,OOD 2,Lu,1002,Summer02
8/19/2018,Class 19,Recursion II,Tang,902,Summer02
8/20/2018,Practice 20,Excercise 6,Joe,1106,Summer02
8/22/2018,Class 20,OOD 3,Lu,1003,Summer02
8/24/2018,Class 21,OOD 4,Zhao,1004,Summer02
8/25/2018,Class 22,Midterm II,Yan,1201,Summer02
8/26/2018,Class 23,加强 1,Wu,1401,Summer02
8/27/2018,Class 24,System Design 1,Zhao,1301,Summer02
8/29/2018,Practice 21,0,Lu,1107,Summer02
8/31/2018,Class 25,加强 2,Wu,1402,Summer02
9/1/2018,Class 26,System design 2,Zhao,1302,Summer02
9/2/2018,Class 27,加强 3,Wu,1403,Summer02
9/3/2018,Class 28,加强 4,Wu,1404,Summer02
9/5/2018,Practice 22,Concurrency I,Lu,1501,Summer02
9/7/2018,Class 29,System Design 3,Zhao,1303,Summer02
9/8/2018,Class 30,加强 5,Tang,1405,Summer02
9/9/2018,Class 31,System Design 4,Zhao,1304,Summer02
